id w label 
0 0.1504 0 
1 0.2255 0 
2 0.2622 0 
3 0.2720 0 
4 0.2969 0 
5 0.4419 0 
6 0.5952 0 
7 0.4353 1 
8 0.3813 0 
9 0.3125 0 
10 0.5063 0 
11 0.3474 0 
12 0.0981 0 
13 0.2854 0 
14 0.5244 0 
15 0.5957 1 
16 0.1500 0 
17 0.2357 0 
18 0.2134 0 
19 0.2927 0 
20 0.3459 0 
21 0.4470 0 
22 0.5337 1 
23 0.4934 0 
24 0.0880 0 
25 0.1708 0 
26 0.7051 0 
27 0.6592 1 
28 0.1980 0 
29 0.4277 0 
30 0.2793 0 
31 0.5938 0 
32 0.0890 0 
33 0.3865 0 
34 0.0000 0 
35 0.6504 1 
36 0.1354 0 
37 0.1765 0 
38 0.6328 0 
39 0.3328 0 
40 0.0883 0 
41 0.3054 0 
42 0.5815 1 
43 0.1056 0 
44 0.0000 0 
45 0.6338 0 
46 0.6392 1 
47 0.2328 0 
48 0.0991 0 
49 0.1617 0 
50 0.2240 0 
51 0.1827 0 
52 0.3730 0 
53 0.5317 1 
54 0.0000 0 
55 0.6650 0 
56 0.0861 0 
57 0.0922 0 
58 0.0000 0 
59 0.2064 0 
60 0.0000 0 
61 0.6694 0 
62 0.4978 1 
63 0.6782 0 
64 0.0889 0 
65 0.1339 0 
66 0.1411 0 
67 0.2053 0 
68 0.2803 0 
69 0.7080 1 
70 0.4404 0 
71 0.3647 0 
72 0.2959 0 
73 0.4854 0 
74 0.5894 0 
75 0.3362 0 
76 0.0000 0 
77 0.0000 0 
78 0.3298 0 
79 0.5552 1 
80 0.2539 0 
81 0.1133 0 
82 0.2644 0 
83 0.4663 0 
84 0.4277 0 
85 0.3589 0 
86 0.0000 0 
87 0.4849 1 
88 0.2026 0 
89 0.4602 0 
90 0.3232 0 
91 0.2573 0 
92 0.0000 0 
93 0.3601 0 
94 0.0000 0 
95 0.1222 0 
96 0.0946 0 
97 0.1641 0 
98 0.1411 0 
99 0.3440 0 
100 0.0000 0 
101 0.0000 0 
102 0.2074 0 
